bit, data
byte, data
warhole, time
liquid-gallon, volume
imperial-gallon, volume
smoot, length
mickey, length
shake, time
jiffy, time
megabyte, data
gigabyte, data
parsecs, time
light-year, length
horse, distance
football-field, length
rack, length
dozen, quantity
gross, quantity
league, length
stone, volume
meter, length
gallon, volume
liter, volume
millimeter, length
centimeter, length
decimeter, length
kilometer, length
light-year, length
parsec, length
inch, length
yard, length
mile, length
square-meter, area
acre, area
are, area
hectare, area
square-inch, area
square-foot, area
square-feet, area
square-yard, area
square-mile, area
cubic-meter, volume
milliliter, volume
centiliter, volume
deciliter, volume
hectoliter, volume
cubic-inch, volume
cubic-foot, volume
cubic-yard, volume
acre-foot, volume
teaspoon, volume
tablespoon, volume
fluid-ounce, volume
cup, volume
gill, volume
pint, volume
quart, volume
gallon, volume
radian, angle
degree, angle
second, time
minute, time
hour, time
day, time
year, time
hertz, frequency
decibel, sound
miles-per-hour, speed
meters-per-second, speed
grams, mass
kilogram, mass
grain, mass
dram, mass
ounce, mass
pound, mass
ton, mass
kelvin, temperature
centigrade, temperature
fahrenheit, temperature
